,train,validation,test
01AD002,1.0,1.0,0.6876568560346794
01AD003,1.0,1.0,0.9377138945927447
01AD015,0.0,0.17499429614419348,0.08304814054300702
01AE001,1.0,1.0,0.6876568560346794
01AF006,0.0,0.0,0.0
01AF007,1.0,1.0,0.9377138945927447
01AF009,0.3123431439653206,1.0,0.9377138945927447
01AH005,0.6668948208989276,0.0,0.0
01AJ003,1.0,1.0,0.9377138945927447
01AJ004,1.0,1.0,0.9377138945927447
01AJ006,0.0,0.0,0.0
01AJ007,0.0,0.0,0.0
01AJ010,1.0,1.0,0.9377138945927447
01AJ011,0.9377138945927447,0.0,0.0
01AK001,1.0,1.0,0.9377138945927447
01AK005,0.9377138945927447,0.0,0.0
01AK006,1.0,1.0,0.9377138945927447
01AK007,1.0,1.0,0.9377138945927447
01AL002,1.0,1.0,0.9377138945927447
01AL003,0.9377138945927447,0.0,0.0
01AL004,1.0,1.0,0.9377138945927447
01AL008,0.9377138945927447,0.0,0.0
01AM001,1.0,1.0,0.9377138945927447
01AN001,0.9338352726443075,0.0,0.0
01AN002,1.0,1.0,0.9377138945927447
01AO009,0.9377138945927447,0.0,0.0
01AP002,1.0,1.0,0.9377138945927447
01AP004,1.0,1.0,0.9377138945927447
01AP006,0.9377138945927447,0.0,0.7499429614419347
01AP009,0.3645904631530915,0.0,0.0
01AQ001,1.0,1.0,1.0
01AQ008,0.8795345653661876,0.04152407027150351,0.0
01AR007,0.0,0.0,0.0
01AR008,0.0,0.0,0.0
01BA001,0.0,0.0,0.0
01BC001,1.0,1.0,0.9377138945927447
01BD002,0.9806068902578143,0.25758612822267857,0.0
01BD004,0.0832762947752681,0.0,0.0
01BD008,1.0,0.9849418206707734,0.0832762947752681
01BD009,0.0,0.7659137577002053,0.564909879078257
01BE001,1.0,1.0,0.9377138945927447
01BF001,1.0,0.5550992470910335,0.0
01BF004,0.0,0.34679443303673285,0.5872689938398357
01BG001,0.0,0.0,0.0
01BG002,0.03901437371663241,0.0,0.0
01BG003,0.0,0.0,0.0
01BG004,0.0,0.0,0.0
01BG005,1.0,0.9664613278576317,0.5774583618526123
01BG006,0.0,0.0,0.0
01BG008,1.0,0.5833903718913986,0.0
01BG009,0.9365731234314396,0.9968058407483459,0.5870408396075747
01BH001,0.0,0.0,0.0
01BH002,0.0,0.0,0.0
01BH003,0.0,0.0,0.0
01BH007,1.0,0.22359114761578824,0.0
01BH008,0.21355236139630385,0.0,0.0
01BH009,0.0,0.0,0.0
01BH012,0.23933378964179786,0.3041295916039243,0.0
01BJ001,1.0,0.04152407027150351,0.0
01BJ003,1.0,1.0,0.9377138945927447
01BJ007,1.0,1.0,0.9377138945927447
01BJ010,1.0,1.0,0.9377138945927447
01BJ012,0.8957335158567191,1.0,0.9377138945927447
01BK006,0.541638147387634,0.0,0.0
01BL001,0.7081907369381701,0.0,0.0
01BL002,1.0,1.0,0.9377138945927447
01BL003,1.0,1.0,0.9377138945927447
01BO001,1.0,1.0,0.9377138945927447
01BO003,1.0,0.04152407027150351,0.0
01BO004,0.9377138945927447,0.0,0.0
01BP001,1.0,1.0,0.9377138945927447
01BP002,0.4111339265343372,1.0,0.9377138945927447
01BQ001,1.0,1.0,0.9377138945927447
01BS001,1.0,1.0,0.9377138945927447
01BT001,0.6828656171571983,0.0,0.0
01BU002,1.0,1.0,0.9377138945927447
01BU004,0.23112023728040154,0.0,0.0
01BU005,0.0,0.33333333333333337,0.0
01BU006,0.0,0.33333333333333337,0.0
01BU007,0.0,0.5441478439425051,0.0
01BU008,0.0,0.5441478439425051,0.0
01BU009,0.0,0.9545973077800594,0.9377138945927447
01BV004,0.2673967602099019,1.0,0.9794661190965093
01BV005,0.0,0.0,0.0
01BV006,1.0,1.0,0.9377138945927447
01BV007,0.0,0.0,0.0
01BV008,0.0,0.0,0.0
01BV010,0.0,0.09514031485284047,0.35432352270134615
01CA003,1.0,1.0,0.9377138945927447
01CA004,0.0,0.0,0.0
01CB005,0.43759981747661414,0.0,0.0
01CB006,0.8186173853524983,0.0,0.0
01CB007,0.0,0.0,0.0
01CB008,0.0,0.0,0.0
01CB010,0.0,0.0,0.0
01CB012,0.0,0.0,0.0
01CB014,0.0,0.0,0.0
01CB015,0.13552361396303902,0.0,0.0
01CC004,0.0,0.0,0.0
01CC005,0.5188227241615332,1.0,0.9377138945927447
01CD005,0.0,0.9790098106319872,0.9377138945927447
01CE003,0.0,0.0,0.0
01CE004,1.0,0.04563084645220172,0.0
01CE005,0.2648870636550308,0.000684462696783017,0.0
01DD002,0.0,0.49509468400638834,1.0
01DD004,1.0,0.047227926078028726,0.0
01DD005,0.0,0.47684234542550763,0.999771845767739
01DG003,1.0,1.0,0.9377138945927447
01DG006,1.0,0.04449007529089666,0.0
01DH002,0.0,0.0,0.0
01DH003,0.7081907369381701,0.0,0.0
01DJ004,0.0,0.0,0.0
01DJ005,0.08532968286561715,1.0,0.9377138945927447
01DL001,1.0,0.8590006844626967,0.9377138945927447
01DN004,1.0,0.40999315537303216,0.0
01DN006,0.0,0.0,0.0
01DN008,0.0,0.0,0.0
01DO001,1.0,0.04608715491672366,0.0
01DP004,0.9164955509924709,1.0,0.9377138945927447
01DR001,1.0,1.0,1.0
01EC001,1.0,1.0,1.0
01EC002,0.5017111567419575,0.04699977184576776,0.0
01ED005,1.0,0.6046087154916724,0.9790098106319872
01ED007,1.0,1.0,1.0
01ED008,0.0,0.0,0.0
01ED009,0.1715719826602784,0.0,0.0
01ED010,0.21332420716404288,0.1190965092402464,0.0
01ED013,0.0,0.5756331279945244,1.0
01EE005,1.0,1.0,1.0
01EE007,0.29500342231348387,0.0,0.0
01EF001,1.0,1.0,1.0
01EG002,1.0,0.18777093315080995,0.0
01EH003,1.0,0.10426648414328088,0.0
01EJ001,1.0,1.0,0.9377138945927447
01EJ002,0.0,0.0,0.0
01EJ004,1.0,1.0,0.8544375998174766
01EJ006,0.37508555783709785,0.02099018936801278,0.0
01EM002,0.19917864476386038,0.0,0.0
01EN002,1.0,0.13712069358886603,0.0
01EN003,0.4905315993611682,0.04699977184576776,0.0
01EO001,1.0,1.0,1.0
01ER001,1.0,0.04585900068446269,0.0
01ER002,0.0,0.0,0.0
01FA001,1.0,1.0,1.0
01FB001,1.0,1.0,1.0
01FB003,1.0,1.0,1.0
01FB005,0.0,0.0,0.0
01FB006,1.0,0.047227926078028726,0.0
01FC001,0.0,0.0,0.0
01FD001,0.0,0.0,0.0
01FF001,0.0,0.2290668491900525,1.0
01FG001,0.0,0.06228610540725532,1.0
01FJ002,1.0,1.0,0.9377138945927447
01FJ006,0.27948893451973533,0.0,0.0
02AA001,1.0,0.43759981747661414,0.0
02AA002,0.0,0.0,0.0
02AB008,1.0,1.0,0.9374857403604837
02AB014,1.0,0.33333333333333337,0.9265343372119553
02AB017,1.0,0.9958932238193019,0.9377138945927447
02AB019,0.7433264887063655,0.998631074606434,0.9769564225416382
02AB021,0.4788957335158567,0.9744467259867671,0.9044033766826375
02AB022,0.0,0.28861510381017563,0.8966461327857632
02AB023,0.0,0.0,0.7207392197125257
02AB024,0.0,0.0,0.8745151722564454
02AC001,1.0,0.8487337440109514,0.9096509240246407
02AC002,1.0,0.9621263974446725,0.9377138945927447
02AD010,1.0,0.9749030344512891,0.999771845767739
02AE001,1.0,0.06502395619438739,0.9374857403604837
02BA002,1.0,0.004106776180698102,0.0
02BA003,1.0,1.0,0.9372575861282226
02BA005,0.47022587268993843,1.0,0.9368012776637007
02BA006,0.0,0.2947752680812229,0.999771845767739
02BB002,0.6876568560346794,0.0,0.0
02BB003,1.0,1.0,0.999771845767739
02BC005,0.06228610540725532,0.9386265115217888,0.0
02BC006,0.0,0.0,0.9039470682181154
02BF001,1.0,1.0,0.9377138945927447
02BF002,1.0,1.0,0.9377138945927447
02BF003,0.0,0.0,0.0
02BF004,1.0,1.0,0.9377138945927447
02BF005,1.0,1.0,0.8544375998174766
02BF006,1.0,1.0,0.8544375998174766
02BF007,1.0,1.0,0.8544375998174766
02BF008,1.0,1.0,0.8544375998174766
02BF009,1.0,1.0,0.8523842117271275
02CA002,1.0,1.0,0.9263061829796942
02CB003,1.0,1.0,0.9377138945927447
02CD006,1.0,1.0,0.9377138945927447
02CD007,0.5336527492584988,0.0,0.0
02CE007,0.0,0.031028975587497176,0.9377138945927447
02CE103,0.0,0.0,0.0
02CF007,1.0,1.0,0.9377138945927447
02CF008,0.9395391284508328,1.0,0.9377138945927447
02CF011,1.0,0.09422769792379648,0.9374857403604837
02CF012,1.0,1.0,1.0
02CF100,0.0,0.0,0.0
02CG003,0.7713894592744696,0.3997262149212868,0.9790098106319872
02DC012,0.728952772073922,1.0,1.0
02DC013,0.0,0.0,0.81222906684919
02DD012,0.9098790782569016,0.0,0.7499429614419347
02DD013,1.0,1.0,0.8818161076887976
02DD014,1.0,1.0,0.9377138945927447
02DD015,1.0,1.0,0.9377138945927447
02EA005,1.0,1.0,1.0
02EA010,1.0,1.0,0.9377138945927447
02EA013,0.39265343372119554,0.0,0.0
02EA018,0.0,0.33013917408167925,0.9377138945927447
02EA021,0.0,0.0,0.8507871321013005
02EB014,1.0,1.0,1.0
02EB103,0.0,0.0,0.0
02EB104,0.0,0.0,0.0
02EC002,1.0,1.0,1.0
02EC009,1.0,1.0,1.0
02EC010,0.917636322153776,0.6666666666666667,1.0
02EC011,0.9073693817020305,0.010495094684006334,1.0
02EC018,0.6265115217887292,1.0,1.0
02EC019,0.0,0.06228610540725532,1.0
02EC020,0.0,0.04175222450376459,1.0
02EC021,0.0,0.04175222450376459,1.0
02ED003,1.0,1.0,1.0
02ED007,1.0,1.0,0.999087383070956
02ED013,0.6456764772986539,1.0,1.0
02ED014,0.8270590919461556,1.0,0.8544375998174766
02ED015,0.5272644307551906,1.0,1.0
02ED016,0.5028519279032626,0.0,0.0
02ED017,0.5229295003422314,1.0,1.0
02ED018,0.5233858088067533,0.3187314624686288,0.0
02ED019,0.5263518138261465,0.39676020990189365,0.0
02ED024,0.5133470225872689,1.0,1.0
02ED025,0.24868811316449924,0.0,0.0
02ED026,0.4170659365731234,1.0,0.9922427561031257
02ED028,0.0,0.4065708418891171,0.0
02ED029,0.0,0.5624001825233857,0.9094227697923797
02ED030,0.0,0.06228610540725532,1.0
02ED031,0.0,0.04175222450376459,0.8770248688113165
02ED032,0.0,0.04175222450376459,1.0
02ED101,0.0,0.81222906684919,0.9853981291352955
02ED102,0.3472507415012549,0.8076659822039699,0.9856262833675564
02FA002,1.0,1.0,1.0
02FA004,0.6370066164727355,0.37508555783709785,1.0
02FB007,1.0,1.0,1.0
02FB010,1.0,1.0,1.0
02FB012,0.0,0.04175222450376459,1.0
02FB013,0.0,0.04175222450376459,0.9949806068902578
02FB014,0.0,0.04175222450376459,1.0
02FC011,1.0,0.3639060004563085,1.0
02FC016,1.0,0.41660962810860136,0.999771845767739
02FC017,0.7335158567191422,0.04175222450376459,1.0
02FC020,0.0,0.04175222450376459,1.0
