,train,validation,test
01AD002,1.0,1.0,0.6923076923076923
01AD003,1.0,1.0,0.9230769230769231
01AD015,0.0,0.23076923076923073,0.15384615384615385
01AE001,1.0,1.0,0.6923076923076923
01AF006,0.0,0.0,0.0
01AF007,1.0,1.0,0.9230769230769231
01AF009,0.3076923076923077,1.0,0.9230769230769231
01AH005,0.6923076923076923,0.0,0.0
01AJ003,1.0,1.0,0.9230769230769231
01AJ004,1.0,1.0,0.9230769230769231
01AJ006,0.0,0.0,0.0
01AJ007,0.0,0.0,0.0
01AJ010,1.0,1.0,0.9230769230769231
01AJ011,0.9230769230769231,0.0,0.0
01AK001,1.0,1.0,0.9230769230769231
01AK005,0.9230769230769231,0.0,0.0
01AK006,1.0,1.0,0.9230769230769231
01AK007,1.0,1.0,0.9230769230769231
01AL002,1.0,1.0,0.9230769230769231
01AL003,0.9230769230769231,0.0,0.0
01AL004,1.0,1.0,0.9230769230769231
01AL008,0.9230769230769231,0.0,0.0
01AM001,1.0,1.0,0.9230769230769231
01AN001,0.9230769230769231,0.0,0.0
01AN002,1.0,1.0,0.9230769230769231
01AO009,0.9230769230769231,0.0,0.0
01AP002,1.0,1.0,0.9230769230769231
01AP004,1.0,1.0,0.9230769230769231
01AP006,0.9230769230769231,0.0,0.6923076923076923
01AP009,0.3846153846153846,0.0,0.0
01AQ001,1.0,1.0,1.0
01AQ008,0.9230769230769231,0.15384615384615385,0.0
01AR007,0.0,0.0,0.0
01AR008,0.0,0.0,0.0
01BA001,0.0,0.0,0.0
01BC001,1.0,1.0,0.9230769230769231
01BD002,1.0,0.46153846153846156,0.0
01BD004,0.15384615384615385,0.0,0.0
01BD008,1.0,1.0,0.15384615384615385
01BD009,0.0,0.8461538461538461,0.6153846153846154
01BE001,1.0,1.0,0.9230769230769231
01BF001,1.0,0.6153846153846154,0.0
01BF004,0.0,0.3846153846153846,0.6153846153846154
01BG001,0.0,0.0,0.0
01BG002,0.15384615384615385,0.0,0.0
01BG003,0.0,0.0,0.0
01BG004,0.0,0.0,0.0
01BG005,1.0,1.0,0.6153846153846154
01BG006,0.0,0.0,0.0
01BG008,1.0,0.6153846153846154,0.0
01BG009,1.0,1.0,0.6153846153846154
01BH001,0.0,0.0,0.0
01BH002,0.0,0.0,0.0
01BH003,0.0,0.0,0.0
01BH007,1.0,0.3076923076923077,0.0
01BH008,0.6153846153846154,0.0,0.0
01BH009,0.0,0.0,0.0
01BH012,0.3846153846153846,0.5384615384615384,0.0
01BJ001,1.0,0.15384615384615385,0.0
01BJ003,1.0,1.0,0.9230769230769231
01BJ007,1.0,1.0,0.9230769230769231
01BJ010,1.0,1.0,0.9230769230769231
01BJ012,0.8461538461538461,1.0,0.9230769230769231
01BK006,0.6153846153846154,0.0,0.0
01BL001,0.7692307692307692,0.0,0.0
01BL002,1.0,1.0,0.9230769230769231
01BL003,1.0,1.0,0.9230769230769231
01BO001,1.0,1.0,0.9230769230769231
01BO003,1.0,0.15384615384615385,0.0
01BO004,0.9230769230769231,0.0,0.0
01BP001,1.0,1.0,0.9230769230769231
01BP002,0.46153846153846156,1.0,0.9230769230769231
01BQ001,1.0,1.0,0.9230769230769231
01BS001,1.0,1.0,0.9230769230769231
01BT001,0.6923076923076923,0.0,0.0
01BU002,1.0,1.0,0.9230769230769231
01BU004,0.3076923076923077,0.0,0.0
01BU005,0.0,0.3076923076923077,0.0
01BU006,0.0,0.3076923076923077,0.0
01BU007,0.0,0.5384615384615384,0.0
01BU008,0.0,0.5384615384615384,0.0
01BU009,0.0,0.9230769230769231,0.9230769230769231
01BV004,0.3076923076923077,1.0,1.0
01BV005,0.0,0.0,0.0
01BV006,1.0,1.0,0.9230769230769231
01BV007,0.0,0.0,0.0
01BV008,0.0,0.0,0.0
01BV010,0.0,0.15384615384615385,0.3846153846153846
01CA003,1.0,1.0,0.9230769230769231
01CA004,0.0,0.0,0.0
01CB005,0.46153846153846156,0.0,0.0
01CB006,0.8461538461538461,0.0,0.0
01CB007,0.0,0.0,0.0
01CB008,0.0,0.0,0.0
01CB010,0.0,0.0,0.0
01CB012,0.0,0.0,0.0
01CB014,0.0,0.0,0.0
01CB015,0.15384615384615385,0.0,0.0
01CC004,0.0,0.0,0.0
01CC005,0.6923076923076923,1.0,0.9230769230769231
01CD005,0.0,0.9230769230769231,0.9230769230769231
01CE003,0.0,0.0,0.0
01CE004,1.0,0.15384615384615385,0.0
01CE005,0.6153846153846154,0.07692307692307687,0.0
01DD002,0.0,0.5384615384615384,1.0
01DD004,1.0,0.15384615384615385,0.0
01DD005,0.0,0.5384615384615384,1.0
01DG003,1.0,1.0,0.9230769230769231
01DG006,1.0,0.15384615384615385,0.0
01DH002,0.0,0.0,0.0
01DH003,0.7692307692307692,0.0,0.0
01DJ004,0.0,0.0,0.0
01DJ005,0.15384615384615385,1.0,0.9230769230769231
01DL001,1.0,0.9230769230769231,0.9230769230769231
01DN004,1.0,0.46153846153846156,0.0
01DN006,0.0,0.0,0.0
01DN008,0.0,0.0,0.0
01DO001,1.0,0.15384615384615385,0.0
01DP004,1.0,1.0,0.9230769230769231
01DR001,1.0,1.0,1.0
01EC001,1.0,1.0,1.0
01EC002,0.5384615384615384,0.15384615384615385,0.0
01ED005,1.0,0.6153846153846154,0.9230769230769231
01ED007,1.0,1.0,1.0
01ED008,0.0,0.0,0.0
01ED009,0.46153846153846156,0.0,0.0
01ED010,0.3076923076923077,0.23076923076923073,0.0
01ED013,0.0,0.6153846153846154,1.0
01EE005,1.0,1.0,1.0
01EE007,0.46153846153846156,0.0,0.0
01EF001,1.0,1.0,1.0
01EG002,1.0,0.23076923076923073,0.0
01EH003,1.0,0.15384615384615385,0.0
01EJ001,1.0,1.0,0.9230769230769231
01EJ002,0.0,0.0,0.0
01EJ004,1.0,1.0,0.8461538461538461
01EJ006,0.3846153846153846,0.07692307692307687,0.0
01EM002,0.3076923076923077,0.0,0.0
01EN002,1.0,0.23076923076923073,0.0
01EN003,0.5384615384615384,0.15384615384615385,0.0
01EO001,1.0,1.0,1.0
01ER001,1.0,0.15384615384615385,0.0
01ER002,0.0,0.0,0.0
01FA001,1.0,1.0,1.0
01FB001,1.0,1.0,1.0
01FB003,1.0,1.0,1.0
01FB005,0.0,0.0,0.0
01FB006,1.0,0.15384615384615385,0.0
01FC001,0.0,0.0,0.0
01FD001,0.0,0.0,0.0
01FF001,0.0,0.23076923076923073,1.0
01FG001,0.0,0.07692307692307687,1.0
01FJ002,1.0,1.0,0.9230769230769231
01FJ006,0.3846153846153846,0.0,0.0
